t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.645,1.45167,1.5,-0.00141973,0,0.000265165,0,2.57914,2.5,-0.024394,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.65,1.46405,1.5,-0.00256355,0,5.4078e-05,0,2.57837,2.5,-0.0265853,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.655,1.47576,1.5,-0.00331414,0,7.96063e-06,0,2.60605,2.5,-0.0312682,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.66,1.48908,1.5,-0.00306279,0,-7.73569e-05,0,2.67181,2.5,-0.0338026,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.665,1.50346,1.5,-0.00508666,0,-0.000216934,0,2.67557,2.5,-0.0428139,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.67,1.51521,1.5,-0.00466505,0,-0.000518685,0,2.69634,2.5,-0.0475964,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.675,1.5274,1.5,-0.00381181,0,-0.000626967,0,2.65969,2.5,-0.0388122,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.68,1.53988,1.5,-0.00471906,0,-0.00101833,0,2.61281,2.5,-0.028517,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.685,1.55388,1.5,-0.00654285,0,-0.00102866,0,2.59504,2.5,-0.0200842,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.69,1.56876,1.5,-0.00601118,0,-0.000922517,0,2.51724,2.5,-0.0178034,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.695,1.58325,1.5,-0.00629139,0,-0.000869117,0,2.54536,2.5,-0.0203659,0,-0.0338956,-0.0262945,1.25578,0.101824,1.3682,-0.021909
0.7,1.59553,1.75,-0.00670168,0,-0.000930325,0,2.55965,2.5,-0.0146834,0,-0.298619,0.0694294,1.70602,-0.123441,1.62551,-0.0363117
