t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
15,37.3193,37.5,-0.355457,0,0.0720315,0,2.6067,2.5,-0.0073217,0,-0.740325,-0.0389147,-0.086783,0.064536
15.1,37.5672,37.75,-0.324155,0,0.070485,0,2.61771,2.5,-0.0339363,0,-0.611145,0.0384071,-0.0822867,0.0790981
15.2,37.8332,38,-0.292011,0,0.0667871,0,2.58672,2.5,-0.0524361,0,-0.543599,0.0957616,-0.0762471,0.0934624
15.3,38.0965,38.25,-0.253215,0,0.0614757,0,2.76591,2.5,-0.07043,0,-0.825404,0.15755,-0.107555,0.107593
15.4,38.3732,38.5,-0.225136,0,0.0565841,0,2.81741,2.5,-0.0428,0,-1.00965,0.0755859,-0.109997,0.121455
15.5,38.6752,38.75,-0.196963,0,0.051559,0,3.19169,2.5,-0.0354822,0,-1.78804,0.0728748,-0.0702091,0.135013
15.6,38.9889,39,-0.175049,0,0.0492951,0,3.14046,2.5,-0.000827066,0,-2.04028,-0.0506894,-0.0426908,0.148234
15.7,39.2955,39.25,-0.146052,0,0.0484817,0,2.77023,2.5,-0.0139703,0,-1.54022,-0.0508434,0.0419272,0.161084
15.8,39.5597,39.5,-0.11865,0,0.0456655,0,2.49076,2.5,-0.0344043,0,-0.913082,-0.0489986,0.133027,0.173532
15.9,39.7872,39.75,-0.0851387,0,0.0422301,0,2.39512,2.5,-0.0394625,0,-0.549215,-0.0163584,0.102618,0.185546
16,40.0131,40,-0.0605148,0,0.0397759,0,2.28095,2.5,-0.0371789,0,-0.043144,-0.0565197,0.124312,0.197096
16.1,40.251,40.25,-0.0303886,0,0.0367238,0,2.51952,2.5,-0.0593284,0,-0.486378,-0.0226785,0.168254,0.208153
16.2,40.5126,40.25,0.00190247,0,0.0315829,0,2.73271,2.5,-0.047617,0,-0.969153,-0.0387458,0.133042,0.218691
16.3,40.7633,40.75,0.0289537,0,0.0272671,0,2.44891,2.5,-0.0703313,0,-0.134508,0.0225381,0.175607,0.228681
16.4,41.0121,40.75,0.0629412,0,0.0211002,0,2.2393,2.5,-0.0894292,0,0.150466,0.0721586,0.175727,0.2381
16.5,41.2483,41.25,0.0870931,0,0.0142014,0,2.36082,2.5,-0.0640041,0,-0.0188611,0.0156767,0.17344,0.246924
16.6,41.4701,41.5,0.112181,0,0.00826485,0,2.21552,2.5,-0.0989952,0,0.204156,0.109396,0.19424,0.255131
16.7,41.6851,41.5,0.141613,0,0.00294186,0,1.94638,2.5,-0.0564564,0,0.719816,-0.0329005,0.211022,0.2627
16.8,41.8743,42,0.167302,0,-0.000121767,0,1.834,2.5,-0.0514838,0,1.15094,-0.0259376,0.173203,0.269612
